codigo_articulo,nombre_producto,presentacion,unidad_medida,categoria,categoria_general,origen,es_producto
0005ME,Arverja partida 20 kg,20 kg,kg,Menestras,Menestras,real,True
SINT0777,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0676,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0266CN,Sal Mesa 1kg,1 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0364,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0200,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0447FS,Frutas deshidratadas,,kg,Frutos secos,Snacks y dulces,real,True
SINT0628,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0757,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0060,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0474,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0306CN,TUCO SIBARITA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0515,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0316CN,ROMERO SECO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0152CR,Avena con hojuelas 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0457,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0844,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0580LI,Suavizante de ropa 1 L,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
0052ME,Pallar 1 kl,1 kg,kg,Menestras,Menestras,real,True
SINT0048,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0601,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0941,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0182,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0329,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0475HU,Huevo blanco,,unidad,Huevos,Avícolas,real,True
SINT0501,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0659LI,Limpiador de porcelanato 1l,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
0403LA,Leche condensada 387 g lata,387 gr,lata,Lacteos,Lácteos,real,True
0517AV,Registro técnico (sin descripción),,kg,Aves,Avícolas,real,False
0323CN,GERMINADOS,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0020ME,Frejol Castilla 10 kg,10 kg,kg,Menestras,Menestras,real,True
SINT0678,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0036ME,Lenteja 5kg,5 kg,kg,Menestras,Menestras,real,True
SINT0049,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0822,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0553,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0411LA,Leche en polvo 2 a 24 meses,,lata,Lacteos,Lácteos,real,True
SINT0204,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0543VA,Mondongo 1 kg,1 kg,kg,Vacuno,Cárnicos y pescados,real,True
SINT0307,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0234,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0356,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0248HA,Harina kiwicha 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
SINT0665,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0644,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0495AV,Pollo pechuga bandeja,bandeja,kg,Aves,Avícolas,real,True
0157CR,Avena Chia 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0239,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0486,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0631LI,Paño de limpieza absorvenre,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0626,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0575LI,Detergente líquido 5 L,5 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0937,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0018ME,Frejol Castilla 1 kg,1 kg,kg,Menestras,Menestras,real,True
0130CO,Maiz dulce 425 gr,425 gr,lata,Conserva,Conservas,real,True
SINT0017,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0191,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0084,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0440,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0459,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0193AZ,Azucar rubia 10 kg,10 kg,kg,Azucar,Abarrotes,real,True
SINT0074,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0707,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0020,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0325,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0612LI,Desengrasante en spray 650 ml,650 ml,unidad,Limpieza,Limpieza e higiene,real,True
0183CR,Linaza 1 kg,1 kg,kg,Cereal,Cereales y farináceos,real,True
0303CN,PIMIENTA CHAPA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0502AV,Alas natural,,kg,Aves,Avícolas,real,True
SINT0233,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0143,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0150,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0523CE,Carne molida de cerdo,,kg,Cerdo,Cárnicos y pescados,real,True
SINT0185,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0481HU,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,real,False
0160CR,Arroz 5 kg,5 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0263,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0222,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0017ME,Frejol Castilla 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0108,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0413,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0552VA,Hamburguesas Speciales Premium,,kg,Vacuno,Cárnicos y pescados,real,True
0664LI,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
SINT0651,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0477,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0958,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0587,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0726,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0286CN,Vinagre tinto 5 lt,5 lt,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0534,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0187,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0228IN,Sopas Instantaneas Instantaneas,,unidad,Instantaneo,Bebidas e infusiones,real,True
0027ME,Frejol Panamito 10 kg,10 kg,kg,Menestras,Menestras,real,True
SINT0839,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0441FS,Pecanas,,kg,Frutos secos,Snacks y dulces,real,True
SINT0189,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0232IN,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,real,False
0038ME,Lenteja 50 kg,50 kg,kg,Menestras,Menestras,real,True
SINT0107,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0773,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0474HU,Huevo pardo,,unidad,Huevos,Avícolas,real,True
SINT0641,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0955,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0859,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0418,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0645LI,Bolsa basura 50 LT,50 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0869,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0446,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0593,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0463,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0157,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0573,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0425,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0163CR,Arroz 3 kl gr,3 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0603,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0383,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0721,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0887,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0613,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0033,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0155CR,Avena Maca 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0230,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0515AV,Molleja de pollo,,kg,Aves,Avícolas,real,True
SINT0885,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0124,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0159,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0105AC,Aceite de Olivia Virgen 200 ml,200 ml,litro,Aceite,Abarrotes,real,True
0592LI,Lejía líquida color 500 ml,500 ml,unidad,Limpieza,Limpieza e higiene,real,True
SINT0085,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0390,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
0055ME,Pallar BB 10 kl,10 kg,kg,Menestras,Menestras,real,True
0154CR,Avena quinua 900 gr,900 gr,kg,Cereal,Cereales y farináceos,real,True
0407LA,Leche 390 bolsitarro ligth,,lata,Lacteos,Lácteos,real,True
SINT0243,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0210IN,Nibs Cacao 100 gr,100 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0252,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0653,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0639,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0009ME,Frejol Caballero 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0316,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0460,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0145,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0457SN,Gaseosa,,paquete,Snacks,Snacks y dulces,real,True
0256HA,Polvo de hornear,,kg,Harina,Cereales y farináceos,real,True
SINT0704,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0249,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0744,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0535,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0821,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0629LI,Paño microfibra,,unidad,Limpieza,Limpieza e higiene,real,True
0348FI,Fideos cortos 500 gr,500 gr,kg,Fideos,Cereales y farináceos,real,True
SINT0339,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0265CN,Sal cocina 1kg,1 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0037,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0153CR,Avena con hojuela 900 gr,900 gr,kg,Cereal,Cereales y farináceos,real,True
0477HU,Huevo de codorniz,,unidad,Huevos,Avícolas,real,True
0646LI,Bolsa basura 70 LT,70 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0099,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0461,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0556VA,Pulmon,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0286,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0494AV,Pollo pechuga especial,,kg,Aves,Avícolas,real,True
SINT0612,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0756,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0149CR,Avena 1 kl,1 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0315,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0406LA,Leche 390 bolsitarro,,lata,Lacteos,Lácteos,real,True
SINT0009,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0724,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0665LI,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
SINT0732,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0468SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
SINT0750,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0189AZ,Azucar blanca 50 kg,50 kg,kg,Azucar,Abarrotes,real,True
SINT0525,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0943,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0614LI,Desengrasante líquido 2 Lt,2 lt,unidad,Limpieza,Limpieza e higiene,real,True
0146CR,Avena de 200 gr variado,200 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0590,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0482,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0200AZ,Miel 1lt,1 lt,kg,Azucar,Abarrotes,real,True
SINT0836,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0282CN,Vinagre blanco 1 lt,1 lt,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0296CN,Salsa tomate 1kl,1 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0406,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0404LA,Leche chocolatada 900 ml,900 ml,lata,Lacteos,Lácteos,real,True
0125CO,Sardina lata,lata,lata,Conserva,Conservas,real,True
SINT0630,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0205AZ,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,real,False
SINT0309,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0249HA,Harina sin gluten,,kg,Harina,Cereales y farináceos,real,True
SINT0112,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0686,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0251,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0336,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0752,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0388IN,Te verde 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0855,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0363,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0222IN,Milo 970 gr bolsa,970 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
0647LI,Bolsa basura 180LT,180 lt,unidad,Limpieza,Limpieza e higiene,real,True
0002ME,Arverja partida 1 kg,1 kg,kg,Menestras,Menestras,real,True
0115CO,Filete de atun agua lata,lata,lata,Conserva,Conservas,real,True
SINT0319,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0775,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0900,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0505,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0415,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0246,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0759,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0768,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0445FS,Mani Molido,,kg,Frutos secos,Snacks y dulces,real,True
SINT0669,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0470,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0608,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0670EM,Chorizo Parrillero x 4,,paquete,Embutidos,Cárnicos y pescados,real,True
SINT0880,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0399,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0035,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0320CN,HONGO SECO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0654LI,Servilletas dobladas x 100,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0509,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0346,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0550,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0255,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0464,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0633LI,Paño amarillo Virurex,,unidad,Limpieza,Limpieza e higiene,real,True
0638LI,Recojedor mango,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0971,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0197,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0438,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0966,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0681,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0927,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0623,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0053,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0776,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0138,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0184,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0651LI,Papel higienico normal,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0629,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0562LI,Detergente en polvo 900 g,900 gr,unidad,Limpieza,Limpieza e higiene,real,True
SINT0740,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0583LI,Suavizante de ropa 3 L,3 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0285,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0620,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0793,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0530VA,Costilla baby,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0238,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0546VA,Picaña,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0758,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0543,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0647,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0874,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0490PE,Registro técnico (sin descripción),,kg,Pescado,Cárnicos y pescados,real,False
0097AC,Aceite Soya 20 lt,20 lt,litro,Aceite,Abarrotes,real,True
SINT0404,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0569LI,Detergente líquido 1 L,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0407,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
SINT0209,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0845,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0242,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0925,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0144,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0209AZ,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,real,False
0396LA,Leche Ligth 390 lata,lata,lata,Lacteos,Lácteos,real,True
SINT0432,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0829,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0401LA,Leche niño 390 lata,lata,lata,Lacteos,Lácteos,real,True
SINT0714,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0378,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0834,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0939,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0648LI,Bolsa basura 240 LT,240 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0269,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0618LI,Acido Limpiador Sacasarro 1.8 lt,1.8 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0797,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0924,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0411,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0100AC,Aceite de Oliva Virgen 5 lt,5 lt,litro,Aceite,Abarrotes,real,True
SINT0559,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0410LA,Leche en polvo niños de 0 a 12,,lata,Lacteos,Lácteos,real,True
0508AV,Pavo de 9 kl,9 kg,kg,Aves,Avícolas,real,True
SINT0696,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0073,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0082,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0716,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0203AZ,Azucar blanca 25 kg,25 kg,kg,Azucar,Abarrotes,real,True
0137CO,Castaña de agua tajada 564 gr,564 gr,lata,Conserva,Conservas,real,True
SINT0140,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
0041ME,Lenteja BB 10 kl,10 kg,kg,Menestras,Menestras,real,True
SINT0872,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0233IN,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,real,False
SINT0004,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0382IN,Coca 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
0291CN,Oregano 500 gr,500 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0422MR,Mantequilla 390 gr,390 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
0395LA,Leche Evaporada 390 gr lata,390 gr,lata,Lacteos,Lácteos,real,True
0598LI,Cuello puño ropa blanca,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0098,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0396,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0338,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0944,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0653LI,Servilletas cortadas x 200,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0089,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0253,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0526CE,Guiso de cerdo,,kg,Cerdo,Cárnicos y pescados,real,True
0066ME,Quinua 1 kg,1 kg,kg,Menestras,Menestras,real,True
0015ME,Frejol Canario 5kg,5 kg,kg,Menestras,Menestras,real,True
SINT0177,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0923,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0498AV,Pollo ligth,,kg,Aves,Avícolas,real,True
0383IN,Variadas 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
0190AZ,Azucar rubia 1kg,1 kg,kg,Azucar,Abarrotes,real,True
SINT0318,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
